frameno;frametime;red_count;green_count;red_pos;green_pos
0;0.0932989120483;2;0;"[[385.5, 279.5], [641.5, 297.5]]";"[]"
1;0.10062289238;2;0;"[[644.5, 297.5], [386.5, 279.5]]";"[]"
2;0.0877330303192;2;0;"[[645.5, 299.5], [388.5, 280.5]]";"[]"
3;0.109166145325;3;0;"[[645.5, 300.5], [388.5, 281.5], [852.5, 443.5]]";"[]"
4;0.109081029892;2;0;"[[385.5, 281.5], [643.5, 299.5]]";"[]"
5;0.114451169968;0;0;"[]";"[]"
6;0.0879969596863;1;0;"[[385.5, 282.5]]";"[]"
7;0.093428850174;2;0;"[[642.5, 302.5], [382.5, 284.5]]";"[]"
8;0.089772939682;1;0;"[[642.5, 302.5]]";"[]"
9;0.109032154083;3;0;"[[642.5, 303.5], [384.5, 284.5], [850.5, 447.5]]";"[]"
10;0.0935378074646;2;0;"[[642.5, 301.5], [383.5, 283.5]]";"[]"
11;0.118333816528;1;0;"[[641.5, 302.5]]";"[]"
12;0.109746217728;1;0;"[[380.5, 283.5]]";"[]"
13;0.121601104736;2;0;"[[379.5, 284.5], [640.5, 303.5]]";"[]"
14;0.115154027939;1;0;"[[638.5, 301.5]]";"[]"
15;0.086569070816;2;0;"[[380.5, 282.5], [637.5, 303.5]]";"[]"
16;0.0891089439392;1;0;"[[638.5, 299.5]]";"[]"
17;0.0939729213715;1;0;"[[380.5, 280.5]]";"[]"
18;0.1068379879;2;0;"[[638.5, 298.5], [845.5, 444.5]]";"[]"
19;0.087033033371;2;0;"[[639.5, 298.5], [378.5, 279.5]]";"[]"
20;0.0878720283508;3;0;"[[639.5, 299.5], [378.5, 278.5], [846.5, 443.5]]";"[]"
21;0.0864589214325;1;0;"[[640.5, 297.5]]";"[]"
22;0.113708972931;2;0;"[[640.5, 297.5], [849.5, 443.5]]";"[]"
23;0.116888046265;1;0;"[[640.5, 297.5]]";"[]"
24;0.0875298976898;1;0;"[[639.5, 299.5]]";"[]"
25;0.113778829575;1;0;"[[640.5, 300.5]]";"[]"
26;0.0936939716339;2;0;"[[640.5, 302.5], [381.5, 282.5]]";"[]"
27;0.0923490524292;1;0;"[[641.5, 301.5]]";"[]"
28;0.109467029572;1;0;"[[642.5, 301.5]]";"[]"
29;0.107177019119;1;0;"[[641.5, 300.5]]";"[]"
30;0.113306999207;2;0;"[[381.5, 282.5], [639.5, 303.5]]";"[]"
31;0.0864081382751;1;0;"[[639.5, 303.5]]";"[]"
32;0.0867309570312;2;0;"[[638.5, 303.5], [378.5, 284.5]]";"[]"
33;0.0843839645386;0;0;"[]";"[]"
34;0.0911381244659;2;0;"[[639.5, 305.5], [381.5, 285.5]]";"[]"
35;0.110287904739;2;0;"[[639.5, 307.5], [380.5, 287.5]]";"[]"
36;0.0990738868713;1;0;"[[637.5, 307.5]]";"[]"
37;0.0848701000214;1;0;"[[635.5, 309.5]]";"[]"
38;0.108551979065;2;0;"[[638.5, 310.5], [1625.5, 828.5]]";"[]"
39;0.094957113266;2;0;"[[637.5, 310.5], [845.5, 456.5]]";"[]"
40;0.0867440700531;2;0;"[[637.5, 310.5], [379.5, 290.5]]";"[]"
41;0.103715181351;1;0;"[[636.5, 309.5]]";"[]"
42;0.108840942383;3;0;"[[842.5, 455.5], [376.5, 289.5], [635.5, 309.5]]";"[]"
43;0.0861480236053;1;0;"[[633.5, 307.5]]";"[]"
44;0.093691110611;3;0;"[[631.5, 305.5], [369.5, 286.5], [839.5, 453.5]]";"[]"
45;0.110270023346;1;0;"[[630.5, 304.5]]";"[]"
46;0.108813047409;2;0;"[[372.5, 283.5], [630.5, 304.5]]";"[]"
47;0.0988581180573;2;0;"[[630.5, 302.5], [368.5, 282.5]]";"[]"
48;0.104713916779;1;0;"[[629.5, 301.5]]";"[]"
49;0.0906341075897;2;0;"[[627.5, 303.5], [365.5, 282.5]]";"[]"
50;0.110118150711;1;0;"[[625.5, 300.5]]";"[]"
51;0.11071896553;2;0;"[[624.5, 302.5], [365.5, 281.5]]";"[]"
52;0.111601114273;1;0;"[[365.5, 281.5]]";"[]"
53;0.101104974747;2;0;"[[625.5, 299.5], [364.5, 279.5]]";"[]"
54;0.120348930359;2;0;"[[362.5, 280.5], [625.5, 299.5]]";"[]"
55;0.105836868286;3;0;"[[624.5, 299.5], [363.5, 281.5], [833.5, 445.5]]";"[]"
56;0.112370014191;1;0;"[[625.5, 300.5]]";"[]"
57;0.101475954056;0;0;"[]";"[]"
58;0.112861871719;2;0;"[[626.5, 299.5], [365.5, 281.5]]";"[]"
59;0.111437797546;2;0;"[[626.5, 300.5], [365.5, 282.5]]";"[]"
60;0.0978660583496;1;0;"[[626.5, 300.5]]";"[]"
61;0.109820842743;1;0;"[[626.5, 301.5]]";"[]"
62;0.105082035065;3;0;"[[365.5, 284.5], [626.5, 301.5], [835.5, 447.5]]";"[]"
63;0.106320142746;0;0;"[]";"[]"
64;0.0953199863434;1;0;"[[631.5, 299.5]]";"[]"
65;0.11040520668;2;0;"[[631.5, 301.5], [1442.5, 579.5]]";"[]"
66;0.110793828964;2;0;"[[631.5, 301.5], [371.5, 282.5]]";"[]"
67;0.103672981262;2;0;"[[372.5, 284.5], [631.5, 303.5]]";"[]"
68;0.113180875778;3;0;"[[631.5, 301.5], [372.5, 284.5], [840.5, 446.5]]";"[]"
69;0.110268115997;2;0;"[[631.5, 301.5], [371.5, 284.5]]";"[]"
70;0.111282110214;2;0;"[[374.5, 284.5], [633.5, 303.5]]";"[]"
71;0.0947329998016;2;0;"[[633.5, 301.5], [374.5, 284.5]]";"[]"
72;0.0894999504089;2;0;"[[633.5, 301.5], [374.5, 284.5]]";"[]"
73;0.106359004974;2;0;"[[632.5, 302.5], [373.5, 284.5]]";"[]"
74;0.0873000621796;1;0;"[[635.5, 301.5]]";"[]"
75;0.119843006134;0;0;"[]";"[]"
76;0.105679035187;3;0;"[[638.5, 302.5], [379.5, 285.5], [1399.5, 581.5]]";"[]"
77;0.106441020966;2;0;"[[382.5, 284.5], [640.5, 302.5]]";"[]"
78;0.0980889797211;1;0;"[[641.5, 302.5]]";"[]"
79;0.11057806015;2;0;"[[643.5, 304.5], [384.5, 286.5]]";"[]"
80;0.118005990982;2;0;"[[643.5, 304.5], [385.5, 288.5]]";"[]"
81;0.103229999542;2;0;"[[644.5, 305.5], [385.5, 288.5]]";"[]"
82;0.0978798866272;2;0;"[[389.5, 288.5], [855.5, 447.5]]";"[]"
83;0.098060131073;2;0;"[[648.5, 306.5], [389.5, 290.5]]";"[]"
84;0.101131916046;2;0;"[[649.5, 311.5], [391.5, 294.5]]";"[]"
85;0.107839107513;1;0;"[[392.5, 297.5]]";"[]"
86;0.103063106537;1;0;"[[388.5, 302.5]]";"[]"
87;0.103050947189;2;0;"[[642.5, 319.5], [382.5, 302.5]]";"[]"
88;0.0888769626617;2;0;"[[382.5, 300.5], [643.5, 316.5]]";"[]"
89;0.0952279567719;1;0;"[[643.5, 316.5]]";"[]"
90;0.102688074112;3;0;"[[387.5, 300.5], [645.5, 317.5], [853.5, 462.5]]";"[]"
91;0.10162115097;1;0;"[[646.5, 321.5]]";"[]"
92;0.0926880836487;1;0;"[[646.5, 322.5]]";"[]"
93;0.111819028854;1;0;"[[650.5, 321.5]]";"[]"
94;0.0954260826111;3;0;"[[652.5, 318.5], [395.5, 303.5], [860.5, 462.5]]";"[]"
95;0.103312015533;2;0;"[[396.5, 302.5], [653.5, 319.5]]";"[]"
96;0.140331029892;2;0;"[[657.5, 318.5], [402.5, 301.5]]";"[]"
97;0.126502037048;2;0;"[[660.5, 317.5], [403.5, 302.5]]";"[]"
98;0.117614984512;1;0;"[[661.5, 321.5]]";"[]"
99;0.0954818725586;1;0;"[[406.5, 308.5]]";"[]"
100;0.105722904205;1;0;"[[407.5, 310.5]]";"[]"
101;0.110109090805;2;0;"[[407.5, 311.5], [870.5, 467.5]]";"[]"
102;0.104890108109;1;0;"[[664.5, 326.5]]";"[]"
103;0.0921649932861;3;0;"[[664.5, 328.5], [1316.5, 596.5], [407.5, 313.5]]";"[]"
104;0.0893259048462;2;0;"[[662.5, 328.5], [408.5, 313.5]]";"[]"
105;0.0924520492554;2;0;"[[663.5, 329.5], [408.5, 313.5]]";"[]"
106;0.106220960617;2;0;"[[663.5, 328.5], [407.5, 312.5]]";"[]"
107;0.118109941483;1;0;"[[663.5, 327.5]]";"[]"
108;0.109160900116;2;0;"[[405.5, 311.5], [662.5, 326.5]]";"[]"
109;0.0985350608826;2;0;"[[660.5, 326.5], [403.5, 310.5]]";"[]"
110;0.10142993927;1;0;"[[659.5, 327.5]]";"[]"
111;0.0947971343994;2;0;"[[659.5, 325.5], [404.5, 310.5]]";"[]"
112;0.109839200974;1;0;"[[660.5, 327.5]]";"[]"
113;0.109349012375;1;0;"[[660.5, 325.5]]";"[]"
114;0.0872991085052;2;0;"[[658.5, 322.5], [402.5, 306.5]]";"[]"
115;0.100335836411;2;0;"[[657.5, 318.5], [399.5, 302.5]]";"[]"
116;0.109206914902;2;0;"[[400.5, 300.5], [654.5, 316.5]]";"[]"
117;0.0859727859497;1;0;"[[654.5, 315.5]]";"[]"
118;0.112081050873;1;0;"[[655.5, 315.5]]";"[]"
119;0.0877280235291;1;0;"[[656.5, 312.5]]";"[]"
120;0.101230859756;2;0;"[[654.5, 310.5], [397.5, 294.5]]";"[]"
121;0.107312917709;1;0;"[[655.5, 309.5]]";"[]"
122;0.0869338512421;1;0;"[[656.5, 303.5]]";"[]"
123;0.106829881668;1;0;"[[658.5, 296.5]]";"[]"
124;0.086982011795;1;0;"[[657.5, 287.5]]";"[]"
125;0.112879991531;2;0;"[[657.5, 283.5], [400.5, 267.5]]";"[]"
126;0.0927910804749;2;0;"[[399.5, 265.5], [657.5, 282.5]]";"[]"
127;0.110574960709;1;0;"[[657.5, 279.5]]";"[]"
128;0.0966989994049;1;0;"[[659.5, 281.5]]";"[]"
129;0.0923449993134;1;0;"[[661.5, 278.5]]";"[]"
130;0.104466915131;2;0;"[[662.5, 278.5], [406.5, 263.5]]";"[]"
131;0.103428125381;1;0;"[[663.5, 277.5]]";"[]"
132;0.108498096466;1;0;"[[663.5, 276.5]]";"[]"
133;0.10431599617;2;0;"[[662.5, 272.5], [406.5, 257.5]]";"[]"
134;0.111207008362;2;0;"[[408.5, 247.5], [665.5, 263.5]]";"[]"
135;0.104985952377;1;0;"[[663.5, 257.5]]";"[]"
136;0.0987491607666;2;0;"[[408.5, 238.5], [665.5, 252.5]]";"[]"
137;0.0957181453705;1;0;"[[665.5, 251.5]]";"[]"
138;0.112829208374;2;0;"[[663.5, 246.5], [406.5, 232.5]]";"[]"
139;0.0873529911041;1;0;"[[406.5, 229.5]]";"[]"
140;0.108940124512;1;0;"[[663.5, 239.5]]";"[]"
141;0.0887198448181;1;0;"[[406.5, 223.5]]";"[]"
142;0.106122970581;2;0;"[[665.5, 237.5], [405.5, 221.5]]";"[]"
143;0.102620124817;2;0;"[[406.5, 219.5], [664.5, 235.5]]";"[]"
144;0.109147071838;1;0;"[[406.5, 217.5]]";"[]"
145;0.114984989166;2;0;"[[665.5, 229.5], [406.5, 216.5]]";"[]"
146;0.101361036301;2;0;"[[408.5, 213.5], [665.5, 227.5]]";"[]"
147;0.0880908966064;2;0;"[[665.5, 225.5], [408.5, 211.5]]";"[]"
148;0.0877170562744;2;0;"[[666.5, 222.5], [407.5, 209.5]]";"[]"
149;0.10130906105;2;0;"[[668.5, 220.5], [408.5, 205.5]]";"[]"
150;0.0871961116791;2;0;"[[410.5, 203.5], [667.5, 218.5]]";"[]"
151;0.112267017365;1;0;"[[671.5, 211.5]]";"[]"
152;0.0862648487091;1;0;"[[418.5, 193.5]]";"[]"
153;0.114403009415;1;0;"[[679.5, 201.5]]";"[]"
154;0.114999055862;2;0;"[[681.5, 198.5], [421.5, 184.5]]";"[]"
155;0.0997910499573;2;0;"[[420.5, 180.5], [1135.5, 536.5]]";"[]"
156;0.10606098175;1;0;"[[422.5, 178.5]]";"[]"
157;0.102542877197;2;0;"[[680.5, 187.5], [422.5, 174.5]]";"[]"
158;0.0880780220032;2;0;"[[679.5, 185.5], [419.5, 170.5]]";"[]"
159;0.114904165268;2;0;"[[679.5, 183.5], [419.5, 167.5]]";"[]"
160;0.0957858562469;1;0;"[[680.5, 178.5]]";"[]"
161;0.110801935196;3;0;"[[678.5, 175.5], [1617.5, 509.5], [420.5, 162.5]]";"[]"
162;0.115073204041;1;0;"[[1696.5, 506.5]]";"[]"
163;0.109656095505;1;0;"[[677.5, 171.5]]";"[]"
164;0.108816862106;1;0;"[[674.5, 167.5]]";"[]"
165;0.0945160388947;2;0;"[[414.5, 149.5], [674.5, 162.5]]";"[]"
166;0.0984241962433;2;0;"[[673.5, 159.5], [885.5, 305.5]]";"[]"
167;0.110883951187;0;0;"[]";"[]"
168;0.0882019996643;3;0;"[[406.5, 137.5], [1143.5, 504.5], [1008.5, 822.5]]";"[]"
169;0.10191488266;4;0;"[[668.5, 146.5], [408.5, 132.5], [884.5, 294.5], [617.5, 681.5]]";"[]"
170;0.10182094574;2;0;"[[669.5, 143.5], [406.5, 129.5]]";"[]"
171;0.0879628658295;2;0;"[[669.5, 141.5], [410.5, 127.5]]";"[]"
172;0.1028881073;2;0;"[[669.5, 138.5], [409.5, 125.5]]";"[]"
173;0.112983942032;1;0;"[[669.5, 135.5]]";"[]"
174;0.11899805069;1;0;"[[669.5, 132.5]]";"[]"
175;0.122123003006;1;0;"[[404.5, 116.5]]";"[]"
176;0.0884020328522;2;0;"[[668.5, 127.5], [406.5, 114.5]]";"[]"
177;0.112454175949;2;0;"[[924.5, 520.5], [444.5, 673.5]]";"[]"
178;0.111996889114;2;0;"[[665.5, 122.5], [535.5, 783.5]]";"[]"
179;0.0888028144836;2;0;"[[402.5, 105.5], [797.5, 646.5]]";"[]"
180;0.103870868683;0;0;"[]";"[]"
181;0.118797063828;2;0;"[[664.5, 111.5], [402.5, 97.5]]";"[]"
182;0.0884339809418;1;0;"[[664.5, 108.5]]";"[]"
183;0.0883679389954;0;0;"[]";"[]"
184;0.117024898529;0;0;"[]";"[]"
185;0.101944923401;0;0;"[]";"[]"
186;0.111186027527;2;0;"[[663.5, 88.5], [397.5, 72.5]]";"[]"
187;0.107568025589;2;0;"[[399.5, 67.5], [880.5, 231.5]]";"[]"
188;0.106487035751;1;0;"[[665.5, 77.5]]";"[]"
189;0.100597143173;1;0;"[[664.5, 72.5]]";"[]"
190;0.0868010520935;2;0;"[[400.5, 53.5], [664.5, 69.5]]";"[]"
191;0.116730928421;2;0;"[[665.5, 65.5], [400.5, 50.5]]";"[]"
192;0.114484071732;2;0;"[[402.5, 47.5], [668.5, 62.5]]";"[]"
193;0.118338108063;0;0;"[]";"[]"
194;0.0897300243378;2;0;"[[404.5, 40.5], [671.5, 56.5]]";"[]"
195;0.0965149402618;2;0;"[[671.5, 53.5], [407.5, 37.5]]";"[]"
196;0.0878829956055;0;0;"[]";"[]"
197;0.129546880722;1;0;"[[675.5, 50.5]]";"[]"
198;0.113661050797;2;0;"[[408.5, 32.5], [677.5, 46.5]]";"[]"
199;0.109740972519;2;0;"[[411.5, 31.5], [678.5, 49.5]]";"[]"
200;0.109890937805;2;0;"[[679.5, 47.5], [414.5, 30.5]]";"[]"
201;0.0862429141998;0;0;"[]";"[]"
202;0.111171007156;2;0;"[[415.5, 24.5], [681.5, 39.5]]";"[]"
203;0.09503698349;2;0;"[[682.5, 38.5], [414.5, 22.5]]";"[]"
204;0.0954320430756;1;0;"[[418.5, 20.5]]";"[]"
205;0.105390071869;2;0;"[[420.5, 18.5], [685.5, 31.5]]";"[]"
206;0.110615968704;0;0;"[]";"[]"
207;0.109066963196;2;0;"[[685.5, 29.5], [416.5, 12.5]]";"[]"
208;0.0953969955444;1;0;"[[296.5, 344.5]]";"[]"
209;0.117121934891;2;0;"[[414.5, 8.5], [681.5, 25.5]]";"[]"
210;0.110898971558;1;0;"[[679.5, 23.5]]";"[]"
211;0.104629039764;1;0;"[[677.5, 20.5]]";"[]"
212;0.110508918762;1;0;"[[678.5, 19.5]]";"[]"
213;0.104362010956;1;0;"[[677.5, 18.5]]";"[]"
214;0.112134933472;1;0;"[[677.5, 18.5]]";"[]"
215;0.105512142181;1;0;"[[677.5, 16.5]]";"[]"
216;0.105005979538;1;0;"[[678.5, 16.5]]";"[]"
217;0.104418992996;1;0;"[[677.5, 14.5]]";"[]"
218;0.118506908417;1;0;"[[677.5, 13.5]]";"[]"
219;0.0938410758972;1;0;"[[679.5, 13.5]]";"[]"
220;0.0872189998627;0;0;"[]";"[]"
221;0.103080034256;1;0;"[[677.5, 15.5]]";"[]"
222;0.116183996201;0;0;"[]";"[]"
223;0.106658220291;1;0;"[[680.5, 12.5]]";"[]"
224;0.111407995224;1;0;"[[681.5, 8.5]]";"[]"
225;0.11386013031;1;0;"[[679.5, 9.5]]";"[]"
226;0.111929178238;1;0;"[[680.5, 8.5]]";"[]"
227;0.107764005661;0;0;"[]";"[]"
228;0.114195108414;0;0;"[]";"[]"
229;0.11243891716;1;0;"[[679.5, 7.5]]";"[]"
230;0.0886619091034;0;0;"[]";"[]"
231;0.110168933868;1;0;"[[683.5, 9.5]]";"[]"
232;0.119878053665;1;0;"[[683.5, 9.5]]";"[]"
233;0.109013080597;0;0;"[]";"[]"
234;0.115764856339;2;0;"[[901.5, 160.5], [683.5, 10.5]]";"[]"
235;0.112280130386;2;0;"[[683.5, 8.5], [1469.5, 467.5]]";"[]"
236;0.109945058823;1;0;"[[684.5, 10.5]]";"[]"
237;0.110682964325;1;0;"[[683.5, 12.5]]";"[]"
238;0.0959348678589;1;0;"[[683.5, 9.5]]";"[]"
239;0.113371133804;0;0;"[]";"[]"
240;0.105549097061;0;0;"[]";"[]"
241;0.118541955948;1;0;"[[685.5, 13.5]]";"[]"
242;0.107563018799;1;0;"[[686.5, 15.5]]";"[]"
243;0.100569963455;2;0;"[[1051.5, 403.5], [684.5, 19.5]]";"[]"
244;0.101934194565;0;0;"[]";"[]"
245;0.103724002838;1;0;"[[685.5, 21.5]]";"[]"
246;0.112876176834;1;0;"[[421.5, 9.5]]";"[]"
247;0.0880718231201;1;0;"[[687.5, 22.5]]";"[]"
248;0.0920400619507;0;0;"[]";"[]"
249;0.0867068767548;1;0;"[[687.5, 29.5]]";"[]"
250;0.0867869853973;1;0;"[[687.5, 28.5]]";"[]"
251;0.107928991318;1;0;"[[687.5, 26.5]]";"[]"
252;0.110887765884;1;0;"[[420.5, 15.5]]";"[]"
253;0.109539031982;1;0;"[[685.5, 30.5]]";"[]"
254;0.112760066986;1;0;"[[685.5, 26.5]]";"[]"
255;0.109194040298;1;0;"[[418.5, 15.5]]";"[]"
256;0.114202976227;1;0;"[[684.5, 28.5]]";"[]"
257;0.108302116394;2;0;"[[418.5, 13.5], [685.5, 24.5]]";"[]"
258;0.114585161209;1;0;"[[418.5, 13.5]]";"[]"
259;0.117429971695;1;0;"[[683.5, 26.5]]";"[]"
260;0.113112926483;2;0;"[[418.5, 15.5], [684.5, 27.5]]";"[]"
261;0.0928740501404;2;0;"[[684.5, 30.5], [419.5, 17.5]]";"[]"
262;0.109246969223;0;0;"[]";"[]"
263;0.10512804985;0;0;"[]";"[]"
264;0.105013132095;1;0;"[[686.5, 37.5]]";"[]"
265;0.111137866974;1;0;"[[422.5, 28.5]]";"[]"
266;0.10554599762;2;0;"[[422.5, 32.5], [905.5, 192.5]]";"[]"
267;0.107594013214;0;0;"[]";"[]"
268;0.105426073074;2;0;"[[688.5, 55.5], [424.5, 44.5]]";"[]"
269;0.106255054474;1;0;"[[426.5, 51.5]]";"[]"
270;0.110686063766;2;0;"[[426.5, 59.5], [688.5, 71.5]]";"[]"
271;0.0997819900513;2;0;"[[689.5, 81.5], [426.5, 68.5]]";"[]"
272;0.110134124756;2;0;"[[689.5, 87.5], [426.5, 76.5]]";"[]"
273;0.113739013672;0;0;"[]";"[]"
274;0.10515999794;2;0;"[[424.5, 89.5], [685.5, 101.5]]";"[]"
275;0.115875005722;1;0;"[[424.5, 97.5]]";"[]"
276;0.10672712326;2;0;"[[423.5, 105.5], [685.5, 115.5]]";"[]"
277;0.118458032608;1;0;"[[684.5, 123.5]]";"[]"
278;0.108841180801;1;0;"[[683.5, 126.5]]";"[]"
279;0.108863830566;1;0;"[[683.5, 131.5]]";"[]"
280;0.111103057861;1;0;"[[683.5, 138.5]]";"[]"
281;0.105312108994;2;0;"[[682.5, 142.5], [424.5, 131.5]]";"[]"
282;0.108361005783;1;0;"[[422.5, 136.5]]";"[]"
283;0.0994157791138;2;0;"[[683.5, 155.5], [425.5, 143.5]]";"[]"
284;0.100348949432;2;0;"[[684.5, 161.5], [426.5, 149.5]]";"[]"
285;0.114645004272;2;0;"[[426.5, 155.5], [685.5, 167.5]]";"[]"
286;0.0927679538727;2;0;"[[684.5, 172.5], [426.5, 158.5]]";"[]"
287;0.0876109600067;1;0;"[[686.5, 175.5]]";"[]"
288;0.126017093658;2;0;"[[686.5, 178.5], [428.5, 166.5]]";"[]"
289;0.103922128677;1;0;"[[426.5, 170.5]]";"[]"
290;0.0883040428162;1;0;"[[430.5, 175.5]]";"[]"
291;0.08775806427;1;0;"[[689.5, 193.5]]";"[]"
292;0.118035793304;2;0;"[[332.5, 511.5], [689.5, 195.5]]";"[]"
293;0.0951819419861;1;0;"[[432.5, 189.5]]";"[]"
294;0.0996170043945;2;0;"[[689.5, 206.5], [280.5, 524.5]]";"[]"
295;0.108474969864;1;0;"[[432.5, 200.5]]";"[]"
296;0.111626148224;2;0;"[[431.5, 206.5], [687.5, 219.5]]";"[]"
297;0.118758916855;2;0;"[[684.5, 225.5], [193.5, 545.5]]";"[]"
298;0.0863790512085;2;0;"[[160.5, 552.5], [428.5, 217.5]]";"[]"
299;0.0861721038818;2;0;"[[683.5, 232.5], [427.5, 221.5]]";"[]"
300;0.110729932785;2;0;"[[685.5, 236.5], [430.5, 224.5]]";"[]"
301;0.106168985367;2;0;"[[429.5, 229.5], [685.5, 243.5]]";"[]"
302;0.110705137253;3;0;"[[682.5, 247.5], [427.5, 234.5], [36.5, 574.5]]";"[]"
303;0.115660905838;1;0;"[[680.5, 251.5]]";"[]"
304;0.116930007935;3;0;"[[681.5, 255.5], [426.5, 241.5], [647.5, 449.5]]";"[]"
305;0.10559296608;2;0;"[[682.5, 257.5], [426.5, 243.5]]";"[]"
306;0.10231089592;1;0;"[[423.5, 245.5]]";"[]"
307;0.11319899559;1;0;"[[680.5, 260.5]]";"[]"
308;0.0877339839935;2;0;"[[681.5, 263.5], [425.5, 249.5]]";"[]"
309;0.0876369476318;2;0;"[[679.5, 265.5], [426.5, 250.5]]";"[]"
310;0.106028079987;2;0;"[[680.5, 268.5], [422.5, 252.5]]";"[]"
311;0.0871930122375;2;0;"[[679.5, 268.5], [888.5, 411.5]]";"[]"
312;0.0875551700592;1;0;"[[679.5, 270.5]]";"[]"
313;0.0864698886871;1;0;"[[681.5, 274.5]]";"[]"
314;0.108506917953;1;0;"[[679.5, 277.5]]";"[]"
315;0.0914051532745;1;0;"[[421.5, 267.5]]";"[]"
316;0.0864300727844;2;0;"[[677.5, 287.5], [424.5, 272.5]]";"[]"
317;0.108157157898;1;0;"[[678.5, 293.5]]";"[]"
318;0.0863308906555;2;0;"[[678.5, 292.5], [424.5, 277.5]]";"[]"
319;0.109004020691;2;0;"[[677.5, 295.5], [422.5, 280.5]]";"[]"
320;0.114040136337;2;0;"[[674.5, 300.5], [419.5, 284.5]]";"[]"
321;0.112590074539;1;0;"[[675.5, 303.5]]";"[]"
322;0.119517803192;2;0;"[[673.5, 309.5], [420.5, 293.5]]";"[]"
323;0.0877859592438;2;0;"[[674.5, 313.5], [419.5, 297.5]]";"[]"
324;0.111999988556;1;0;"[[675.5, 315.5]]";"[]"
325;0.110527992249;1;0;"[[677.5, 319.5]]";"[]"
326;0.109625101089;2;0;"[[678.5, 322.5], [423.5, 306.5]]";"[]"
327;0.0961089134216;2;0;"[[678.5, 327.5], [426.5, 311.5]]";"[]"
328;0.116054058075;1;0;"[[679.5, 333.5]]";"[]"
329;0.115869045258;1;0;"[[681.5, 337.5]]";"[]"
330;0.11487197876;1;0;"[[685.5, 345.5]]";"[]"
331;0.103533983231;0;0;"[]";"[]"
332;0.0978119373322;3;0;"[[695.5, 363.5], [444.5, 347.5], [899.5, 501.5]]";"[]"
333;0.108155965805;2;0;"[[442.5, 355.5], [696.5, 370.5]]";"[]"
334;0.0861949920654;2;0;"[[697.5, 379.5], [445.5, 363.5]]";"[]"
335;0.0936298370361;1;0;"[[698.5, 383.5]]";"[]"
336;0.10139799118;2;0;"[[701.5, 386.5], [449.5, 372.5]]";"[]"
337;0.106113910675;1;0;"[[702.5, 390.5]]";"[]"
338;0.113473892212;2;0;"[[451.5, 379.5], [702.5, 393.5]]";"[]"
339;0.0869989395142;2;0;"[[704.5, 397.5], [452.5, 382.5]]";"[]"
340;0.110137939453;1;0;"[[703.5, 401.5]]";"[]"
341;0.109702110291;1;0;"[[703.5, 402.5]]";"[]"
342;0.104296922684;2;0;"[[454.5, 391.5], [704.5, 404.5]]";"[]"
343;0.105927944183;2;0;"[[705.5, 408.5], [453.5, 395.5]]";"[]"
344;0.088103055954;1;0;"[[705.5, 413.5]]";"[]"
345;0.11412191391;2;0;"[[707.5, 416.5], [454.5, 403.5]]";"[]"
346;0.11053609848;2;0;"[[707.5, 421.5], [457.5, 408.5]]";"[]"
347;0.0888149738312;2;0;"[[707.5, 424.5], [458.5, 411.5]]";"[]"
348;0.0881960391998;1;0;"[[707.5, 429.5]]";"[]"
349;0.106878042221;2;0;"[[712.5, 431.5], [670.5, 620.5]]";"[]"
350;0.111582040787;1;0;"[[711.5, 435.5]]";"[]"
351;0.110702991486;1;0;"[[711.5, 435.5]]";"[]"
352;0.127752065659;1;0;"[[711.5, 441.5]]";"[]"
353;0.102568864822;1;0;"[[710.5, 449.5]]";"[]"
354;0.131216049194;1;0;"[[711.5, 451.5]]";"[]"
355;0.132519006729;1;0;"[[461.5, 441.5]]";"[]"
356;0.118113040924;1;0;"[[713.5, 456.5]]";"[]"
357;0.117120027542;1;0;"[[714.5, 459.5]]";"[]"
358;0.0872979164124;2;0;"[[713.5, 461.5], [464.5, 448.5]]";"[]"
359;0.109312057495;2;0;"[[711.5, 466.5], [463.5, 452.5]]";"[]"
360;0.108278036118;2;0;"[[710.5, 471.5], [461.5, 456.5]]";"[]"
361;0.1114590168;2;0;"[[709.5, 474.5], [459.5, 460.5]]";"[]"
362;0.0919811725616;2;0;"[[709.5, 481.5], [458.5, 465.5]]";"[]"
363;0.111406087875;1;0;"[[710.5, 483.5]]";"[]"
364;0.11071896553;1;0;"[[707.5, 484.5]]";"[]"
365;0.118627071381;2;0;"[[707.5, 484.5], [457.5, 470.5]]";"[]"
366;0.0895118713379;1;0;"[[705.5, 486.5]]";"[]"
367;0.103386878967;1;0;"[[706.5, 486.5]]";"[]"
368;0.118036031723;2;0;"[[707.5, 491.5], [458.5, 475.5]]";"[]"
369;0.121320009232;0;0;"[]";"[]"
370;0.109209775925;1;0;"[[706.5, 497.5]]";"[]"
371;0.110126018524;1;0;"[[707.5, 501.5]]";"[]"
372;0.110384941101;1;0;"[[706.5, 506.5]]";"[]"
373;0.0869932174683;1;0;"[[707.5, 513.5]]";"[]"
374;0.0938169956207;1;0;"[[707.5, 518.5]]";"[]"
375;0.11091709137;3;0;"[[457.5, 512.5], [706.5, 527.5], [908.5, 666.5]]";"[]"
376;0.0855190753937;2;0;"[[705.5, 532.5], [455.5, 517.5]]";"[]"
377;0.102845907211;1;0;"[[455.5, 522.5]]";"[]"
378;0.0859708786011;1;0;"[[707.5, 542.5]]";"[]"
